Ecozone,Realm,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Tropical mountain system,SAM,0.180676432,0.139581257,0.141596702,0.163141307,0.185030641,0.165459197,0.188180424,0.001570891,0.214203567,0.19277846,0.165999059,0.264214031,0.163147805,0.155040536
Tropical rainforest,AFR,0.261667229,0.286796104,0.149099315,0.176186387,0.214506694,0.230329548,0.262011626,0.002325547,0.310241405,0.339424853,0.263639722,0.311302628,0.599574194,0.667101707
Tropical rainforest,AUS,0.070209464,0.111237306,0.06816748,0.116455889,0.083897784,0.117757623,0.106801717,0.001305624,0.110341818,0.139744702,0.138128453,0.17729819,0.145876801,0.203438912
Tropical rainforest,EAS,0.572925954,0.6167562,0.415652554,0.887428421,0.858868054,0.968838737,0.999728738,0.009614156,1.400084285,0.999590085,1.086368984,1.553215129,0.86646902,1.133592435
Tropical rainforest,NAM,0.450103393,0.499706893,0.473142381,0.420451577,0.723426781,0.498505836,0.786559591,0.006735002,0.792333525,0.93007192,0.572088359,0.580449308,0.599541625,0.575849159
Tropical rainforest,SAM,0.346155165,0.440838472,0.380257902,0.494580791,0.491302401,0.370506319,0.319488816,0.003252772,0.248156383,0.347215468,0.253253658,0.353765744,0.236185071,0.281511021
Tropical shrubland,AFR,0.617173414,0.357892271,0.708405968,0.246160833,0.505562823,0.838181075,0.97170601,0.008237557,1.263814585,1.042178967,0.863379957,0.915938626,0.981862551,1.772706716
Tropical shrubland,AUS,0.05714632,0.045110191,0.048553492,0.100656679,0.075208405,0.137680036,0.136896144,0.001066545,0.077740135,0.140925194,0.087272699,0.062394961,0.065705902,0.166259158
Tropical shrubland,EAS,0.178946159,0.15089631,0.093578881,0.173336177,0.176340771,0.231844197,0.201724882,0.001843187,0.272745794,0.171401599,0.242963514,0.332791988,0.180038206,0.438413933
Tropical shrubland,NAM,0.983660194,0.45794218,0.415771741,0.798818102,0.647131549,0.622005656,1.149681331,0.004237115,0.737262819,0.455836338,0.51826862,0.307967403,0.184334248,0.347655246
Tropical shrubland,SAM,0.36715253,0.123992965,0.304584255,0.116016059,0.128091845,0.136371742,0.209436634,0.002088761,0.190340495,0.164843936,0.160420822,0.220259376,0.326279609,0.428248456
TROPICAL TOTAL,,0.336204586,0.386509297,0.333337629,0.439562929,0.43976216,0.408563893,0.446824948,0.438672524,0.471834846,0.494508243,0.431624771,0.558731506,0.460461597,0.504275336
