Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aguascalientes,0.02955229,0.007388073,0,0,0.022164218,0,0.014776145,0,0.014776145,0.007388073,0,0,0.007388073,0
Agusan del Norte,0.190942802,0.173812266,0.141222466,0.411132859,0.223950419,0.277013299,0.184257714,0.132448289,0.309603098,0.414893221,0.247766042,0.371857972,0.202223886,0.78549774
Agusan del Sur,0.397539676,0.383125806,0.219811514,0.785684598,0.461887309,0.453136031,0.46948033,0.398569238,0.551330519,0.792505447,0.62442943,0.82313492,0.348635475,1.376910649
Ahal,0.976739643,1.604643699,0.209301352,0,0.069767117,0,1.32557523,0.209301352,0.139534235,0,0.488369822,0,0,0
Ahuachap‹Ån,0.919833429,0.197898758,0.186816428,0.189982808,0.524035912,0.087075454,0.115572875,0.22639618,0.23114575,0.22639618,0.094991404,0.163068577,0.117156065,0.066493983
Aibonito,0.119695733,0.159594311,0.199492889,0.039898578,0.159594311,0.079797156,0.119695733,0.079797156,0.159594311,0.059847867,0.119695733,0.059847867,0,0.059847867
Aichi,0.071176904,0.077252981,0.046872595,0.121955549,0.089405136,0.094179196,0.114577455,0.132371681,0.151901929,0.118483505,0.098953257,0.093745191,0.038192485,0.053382678
Aiga-i-le-Tai,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_”“stfold,0.482694389,0.49510653,0.261689315,0.893329401,0.677840835,0.968147032,0.801962249,0.785067946,0.67680649,0.729558091,0.680599089,0.67680649,0.583025866,0.793687488
Aileu,0.082427999,0.138628908,0.086174726,0.093668181,0.191083089,0.228550361,0.17609618,0.123641999,0.074934545,0.052454181,0.228550361,0.239790543,0.033720545,0.063694363
Aimeliik,0.197353003,0.345367755,0.024669125,0.024669125,0.049338251,0.098676501,0.296029504,0.222022128,0.098676501,0.074007376,0.024669125,0.098676501,0.049338251,0.246691254
Ainaro,0.274130181,0.266444288,0.158841787,0.420162147,0.176775537,0.7609034,0.389418575,0.368922861,0.353551075,0.161403751,0.27925411,0.404790361,0.05380125,0.138346073
Airai,0.154973286,0.154973286,0.038743322,0.038743322,0.077486643,0.096858304,0.251831591,0.135601626,0.096858304,0.116229965,0.058114982,0.077486643,0,0.038743322
Ais‹_n del General Carlos Ib‹Å‹•ez del Campo,0.018151315,0.008326782,0.043898367,0.023304292,0.018597074,0.031185315,0.063583094,0.035393282,0.020415772,0.013016169,0.021057665,0.202838273,0.006953844,0.015031001
Aiwo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajaria,0.00659611,0.011162648,0.015729185,0.040591446,0.006088717,0.016236578,0.018773544,0.022832688,0.01319222,0.011162648,0.005581324,0.00659611,0.001014786,0
Ajdabiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajlun,0,0,0,0.17965578,0,0.08982789,0,0,0,0,0,0,0,0
Ajman,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akershus,0.522124483,0.577984963,0.233417004,0.866977445,0.549484718,0.782901723,0.60677021,0.805701919,0.528109535,0.623300352,0.733026294,0.651515595,0.603350181,0.622445345
Akita,0.097105311,0.119667365,0.050985818,0.145989761,0.087483258,0.11668121,0.196422587,0.099870268,0.074211462,0.103409414,0.182376603,0.154174035,0.075870436,0.083612318
Aklan,0.147327939,0.096196478,0.06499762,0.194992861,0.089263398,0.240057877,0.100529653,0.339720895,0.102262922,0.164660638,0.030332223,0.281656354,0.12999524,0.167260543
Aksaray,1.217477244,0.501314159,0,3.795664349,0.143232617,0.071616308,0.071616308,0,2.506570796,0.214848925,0,0.143232617,0.071616308,0
Akwa Ibom,1.671407562,0.115012699,0.346692955,0.08026066,0.093499532,0.123286993,0.181207057,0.174587622,0.335108942,0.304494051,0.323524929,0.104256115,0.199410506,0.281326025
Al ?asakah,0.876059484,0.219014871,0,0,0,0,0,0.657044613,0,0.219014871,0.876059484,0.219014871,0,0
